Time,Sub:1:Ln:1,Sub:1:Ln:1.1,Sub:1:Ln:1.2,Sub:1:Ln:1.3,Sub:1:Ln:1-11,Sub:1:Ln:1-11.1,Sub:1:Ln:1-11.2,Sub:1:Ln:1-11.3,Sub:1:Ln:1-11.4
1.9,202.4699,3.0039,53.9536,-137.0363,60,0.0066,-58.7339,0.0747,-29.518
1.933,202.4806,3.0063,53.7912,-136.613,60,0.0005,148.4003,0.0942,-9.3614
1.967,202.4722,3.0067,53.3686,-136.5869,60,0.002,-149.3884,0.1332,-74.6999
2,202.4632,2.9991,52.8142,-136.1416,60,0.0028,-25.2837,0.0164,-136.3356
2.033,202.4711,2.9922,52.3293,-135.9539,60,0.0024,-61.2915,0.1615,-123.9406
2.067,202.4695,2.9846,51.6925,-135.4715,60,0.002,-104.9396,0.0872,-154.3767
2.1,202.4629,2.9697,51.4433,-135.0333,60,0.0032,-86.8551,0.1231,48.257
2.133,202.4563,2.9552,50.4316,-134.7938,60,0.0011,142.8441,0.0954,-10.2854
2.167,202.4533,2.9318,49.6474,-133.9989,60,0.0007,160.514,0.1355,-164.4057
2.2,202.46,2.911,49.2041,-133.6452,60,0.002,178.9969,0.0673,-104.0814
2.233,202.4649,2.8992,48.8994,-133.579,60,0.0032,85.4484,0.1694,115.1066
2.267,202.4354,2.8639,47.8325,-132.3127,60,0.0021,124.2392,0.1351,-136.1187
2.3,202.4564,2.8442,47.6317,-132.4042,60,0.0017,-71.4046,0.0984,98.3545
2.333,202.469,2.8433,47.4898,-132.244,60,0.0036,-77.4178,0.1945,-56.2401
2.367,202.4467,2.8167,46.8827,-131.7504,60,0.0032,-141.9263,0.2004,-40.2522
2.4,202.4643,2.8043,46.3634,-131.4538,60,0.0035,90.5456,0.106,120.1461
2.433,202.4672,2.795,46.2085,-130.7541,60,0.002,-63.5073,0.0737,62.3953
2.467,202.4698,2.7827,45.5992,-130.7581,60,0.0028,62.2721,0.1333,-101.5354
2.5,202.4647,2.7729,45.6672,-130.5926,60,0.0009,-92.2725,0.2375,2.814
2.533,202.4666,2.7616,45.5373,-130.5169,60,0.0016,33.4647,0.2312,79.0084
2.567,202.4663,2.7526,45.423,-129.9593,60,0.0038,155.3444,0.2387,-74.3155
2.6,202.4679,2.7447,44.9786,-129.8301,60,0.0049,176.9579,0.165,48.2754
2.633,202.455,2.7313,44.9742,-129.9158,60,0.0012,-87.5704,0.0423,38.7781
2.667,202.4506,2.7119,44.8609,-129.2985,60,0.0029,159.2707,0.133,-3.6492
2.7,202.4713,2.7159,44.8802,-129.8631,60,0.0046,158.7755,0.1659,-174.1916
2.733,202.4506,2.706,44.8558,-129.154,60,0.0008,125.3166,0.0719,162.1905
2.767,202.4522,2.6949,45.089,-129.6535,60,0.0026,142.994,0.2139,-90.3611
2.8,202.4763,2.7015,45.07,-130.2102,60,0.0013,176.1266,0.2929,30.8737
2.833,202.4677,2.6949,45.7632,-129.6823,60,0.0022,-66.8182,0.04,-61.4299
2.867,202.4898,2.7051,45.8054,-130.3498,60,0.0041,36.673,0.0165,44.7993
2.9,202.4901,2.724,46.2484,-131.1099,60,0.003,-25.2614,0.1314,86.1507
2.933,202.4743,2.7182,46.024,-131.0815,60,0.0032,-50.7876,0.133,0.2054
2.967,202.4856,2.7216,46.7399,-131.1622,60,0.0024,-169.0616,0.0333,57.9302
3,202.4921,2.7268,47.0714,-131.2312,60,0.0016,66.0549,0.1628,109.2128
3.033,202.485,2.7368,47.027,-131.4808,60,0.0044,-23.2781,0.0715,-23.1207
3.067,202.4938,2.7469,47.2715,-131.7588,60,0.0011,25.5752,0.1581,-106.8169
3.1,202.4962,2.7609,47.3399,-131.6263,60,0.0022,4.3772,0.1329,64.0143
3.133,202.4816,2.7595,47.5289,-131.1946,60,0.001,31.9433,0.2226,62.5845
3.167,202.4952,2.7798,48.0784,-131.554,60,0.0077,164.1854,0.0421,-88.5032
3.2,202.4899,2.7939,47.8378,-131.9184,60,0.0036,-123.5757,0.0977,39.5315
3.233,202.5009,2.8099,47.9718,-132.1819,60,0.0016,-175.6938,0.0546,7.6117
3.267,202.5076,2.8352,48.4044,-132.7063,60,0.0037,92.2504,0.1467,82.2215
3.3,202.4956,2.8525,48.3935,-132.2337,60,0.003,63.4993,0.1216,67.945
3.333,202.514,2.8817,48.7302,-132.6244,60,0.0025,-65.0452,0.16,-28.9388
3.367,202.5086,2.9008,49.1332,-132.2614,60,0.003,-99.7946,0.2131,75.92
3.4,202.5043,2.9176,49.124,-132.4179,60,0.0029,71.0389,0.0946,14.9857
3.433,202.5274,2.9475,49.6865,-132.9633,60,0.0022,-155.2593,0.1338,-26.9345
3.467,202.5218,2.9772,49.2442,-132.4589,60,0.0021,-94.6497,0.0553,157.5881
3.5,202.5095,2.9933,49.6988,-132.3002,60,0.0001,96.1058,0.1256,23.4015
3.533,202.5143,3.0157,49.2492,-132.4612,60,0.0031,-89.0076,0.0705,172.8941
3.567,202.5234,3.0471,49.1543,-132.4477,60,0.0031,-100.7013,0.1643,-90.0657
3.6,202.5097,3.0699,49.121,-132.3334,60,0.0006,-93.1877,0.1258,36.4084
3.633,202.5211,3.1043,49.5493,-132.341,60,0.0014,-83.2672,0.1365,-147.1688
3.667,202.5154,3.1367,49.3528,-132.251,60,0.0013,81.4695,0.1624,-22.8944
3.7,202.5272,3.1759,49.7341,-132.1643,60,0.0031,-53.1668,0.0827,0.5111
3.733,202.5239,3.2182,49.8078,-132.5592,60,0.002,123.9274,0.0172,66.8273
3.767,202.5131,3.2469,49.6149,-132.4223,60,0.0015,98.138,0.0793,134.6151
3.8,202.5395,3.2954,49.8122,-132.7096,60,0.0027,55.8279,0.1158,-71.6268
3.833,202.5217,3.3341,49.8469,-132.4605,60,0.0012,-57.718,0.1786,177.2318
3.867,202.5133,3.3682,49.702,-132.2956,60,0.002,-121.2943,0.1105,5.7928
3.9,202.5283,3.4108,49.9785,-132.2687,60,0.0029,-41.3511,0.3038,28.6848
3.933,202.5108,3.4425,49.9175,-131.6641,60,0.0005,-65.3241,0.2131,37.5672
3.967,202.521,3.4815,49.6955,-132.0471,60,0.0006,-2.7417,0.1287,-21.7848
4,202.519,3.5215,49.5141,-131.7925,60,0.0022,-57.118,0.1,-169.7304
4.033,202.5065,3.5569,49.3562,-131.5296,60,0.0065,-100.6714,0.0621,69.046
4.067,202.5314,3.6047,49.3836,-132.0183,60,0.0017,158.3731,0.0408,-46.9952
4.1,202.5216,3.6405,48.9423,-131.4927,60,0.0023,-56.8814,0.1359,34.6987
4.133,202.5239,3.6746,48.923,-131.2703,60,0.0017,112.3028,0.2461,66.0659
4.167,202.5386,3.7232,49.1205,-131.4672,60,0.0009,-29.7728,0.2035,85.4994
4.2,202.531,3.7543,48.7607,-131.0779,60,0.0052,101.997,0.0502,-177.4927
4.233,202.5384,3.7902,48.6768,-130.6344,60,0.0022,-165.4077,0.0649,86.9402
4.267,202.5405,3.8223,48.1752,-130.6767,60,0.0039,-78.0385,0.1869,-70.9829
4.3,202.5352,3.8541,47.9846,-130.4817,60,0.0023,95.8742,0.169,-18.3856
4.333,202.5227,3.8799,47.4524,-130.0439,60,0.0034,163.2819,0.0535,57.2628
4.367,202.5237,3.9047,47.3953,-129.862,60,0.0015,94.0932,0.1942,162.9025
4.4,202.5152,3.9314,47.1769,-129.3652,60,0.0037,-37.6655,0.2598,17.2799
4.433,202.5152,3.9597,46.5896,-129.3326,60,0.0025,-157.086,0.1835,83.689
4.467,202.5132,3.9838,46.4723,-129.1466,60,0.0015,43.3612,0.2206,179.9709
4.5,202.5154,4.0139,46.264,-129.5547,60,0.0008,54.768,0.1265,69.8858
4.533,202.5115,4.0461,46.677,-129.2764,60,0.0006,-125.4577,0.1397,-50.8838
4.567,202.4973,4.0764,46.3924,-128.9846,60,0.0025,126.1571,0.2603,-143.1569
4.6,202.4973,4.1018,46.2903,-129.2879,60,0.0033,145.7756,0.0434,-175.7383
4.633,202.5074,4.1391,46.6923,-129.5323,60,0.0018,145.9352,0.0901,-159.6853
4.667,202.4866,4.1567,46.5038,-128.9776,60,0.0018,-41.0521,0.1793,-95.7651
4.7,202.4892,4.1807,46.3657,-128.7264,60,0.0032,-166.2588,0.0971,-46.435
4.733,202.4994,4.2183,46.3676,-129.2331,60,0.0021,83.3945,0.2076,96.1802
4.767,202.4884,4.2434,46.5422,-129.3248,60,0.0016,-17.2392,0.1315,-114.0966
4.8,202.4847,4.2699,46.7631,-129.2303,60,0.0041,-106.0352,0.0795,117.6088
4.833,202.4779,4.2972,46.9706,-129.2674,60,0.0016,-112.0004,0.2331,95.8107
4.867,202.4779,4.3255,47.3992,-129.1387,60,0.0027,-78.7707,0.13,-161.2948
4.9,202.4989,4.3726,48.0354,-129.5807,60,0.0023,60.2349,0.1658,112.5699
4.933,202.4833,4.419,48.5194,-129.8534,60,0.0016,-52.3729,0.1267,-121.5746
4.967,202.4785,4.4616,48.9392,-130.2614,60,0.0005,31.1027,0.2336,63.2467
5,202.4964,4.523,49.9254,-130.9627,60,0.0018,-103.1597,0.0856,78.9524
5.033,202.4854,4.5777,50.1548,-131.4847,60,0.0018,-146.0898,0.0245,46.9278
5.067,202.4834,4.6388,51.5958,-132.0891,60,0.0023,-132.632,0.0988,-16.8204
5.1,202.4896,4.7114,52.4165,-132.6911,60,0.0006,108.5201,0.29,-8.3053
5.133,202.4691,4.7684,52.924,-132.7369,60,0.0036,-135.527,0.0997,-47.7003
5.167,202.484,4.8392,53.8676,-133.1042,60,0.0032,23.3554,0.1088,-44.6252
5.2,202.4869,4.9176,54.9567,-133.5998,60,0.0028,45.2354,0.035,86.5707
5.233,202.4656,4.9801,55.5341,-133.4141,60,0.0008,-64.5395,0.1057,105.5127
5.267,202.4748,5.0561,56.1851,-133.9918,60,0.0035,-98.9627,0.1523,139.0914
5.3,202.4825,5.1441,57.2036,-134.4713,60,0.0036,-56.9747,0.226,47.9839
5.333,202.4711,5.2205,57.6376,-134.4824,60,0.0034,-77.3671,0.1097,54.4223
5.367,202.4789,5.3041,58.3206,-134.84,60,0.0019,116.7402,0.0903,172.4574
5.4,202.4931,5.4008,59.3664,-135.1714,60,0.0008,-67.5799,0.1997,62.1299
5.433,202.4979,5.4959,60.1947,-135.6511,60,0.0016,60.9615,0.148,60.3333
5.467,202.5166,5.5976,60.9518,-136.2739,60,0.0006,-162.7502,0.2051,-102.1126
5.5,202.5012,5.6923,61.3543,-136.3132,60,0.0024,-35.0267,0.0291,123.2888
5.533,202.5279,5.7859,61.6729,-136.2971,60,0.0027,-156.8688,0.0534,-24.9522
5.567,202.5447,5.9077,62.821,-137.1436,60,0.0028,-115.4203,0.0603,62.5577
5.6,202.5181,5.9922,62.5741,-136.5552,60,0.0011,61.8585,0.0227,165.1803
5.633,202.5375,6.0918,63.0506,-136.8962,60,0.0026,-38.0261,0.1032,48.3795
5.667,202.5314,6.1887,63.2177,-136.6889,60,0.0028,-69.5598,0.2852,-171.2267
5.7,202.5239,6.2663,62.7855,-136.3073,60,0.0019,-118.1799,0.2423,-10.935
5.733,202.5316,6.359,62.8704,-136.3919,60,0.0009,-82.5807,0.1696,-84.65
5.767,202.5,6.4398,62.6144,-136.6436,60,0.0048,-63.2127,0.203,-167.2085
5.8,202.493,6.5157,62.6787,-136.3296,60,0.0022,136.9441,0.1842,162.8934
5.833,202.5051,6.6047,62.3451,-136.0781,60,0.0035,130.0079,0.154,103.5433
5.867,202.5111,6.696,62.3415,-135.8397,60,0.0039,-179.0848,0.0446,160.8972
5.9,202.5066,6.783,61.9402,-135.71,60,0.0031,-91.0677,0.2492,64.7056
5.933,202.4982,6.8606,62.0965,-135.7863,60,0.0024,-117.7401,0.1456,-38.9044
5.967,202.5171,6.9518,62.399,-136.0678,60,0.002,-127.4905,0.1044,-67.2965
6,202.5167,7.0409,62.5834,-135.8761,60,0.0014,19.0363,0.0796,-57.8408
6.033,202.5055,7.1203,62.0786,-135.7334,60,0.0007,-86.7717,0.2344,-163.2322
6.067,202.51,7.2055,62.2466,-135.6028,60,0.0016,171.3114,0.1703,87.3714
6.1,202.5174,7.2907,62.3416,-135.8181,60,0.0037,-13.5654,0.0397,-94.2601
6.133,202.5071,7.3692,62.4029,-135.9455,60,0.0027,-140.8651,0.1997,86.3112
6.167,202.4793,7.4274,61.6555,-135.2794,60,0.0022,-119.2767,0.0534,-56.5451
6.2,202.5011,7.5013,61.1765,-135.3055,60,0.0035,23.9954,0.2283,60.4992
6.233,202.4851,7.5707,61.2525,-135.1159,60,0.0026,131.6934,0.0964,132.1793
6.267,202.4551,7.6168,60.3806,-134.0791,60,0.0033,-98.1603,0.0952,33.9001
6.3,202.4716,7.6766,60.2285,-134.445,60,0.0035,28.278,0.1775,69.6774
6.333,202.4562,7.7347,59.748,-134.3211,60,0.0037,-6.5532,0.145,-30.2694
6.367,202.4372,7.7729,59.2697,-133.6105,60,0.0035,173.1158,0.1122,12.9785
6.4,202.4547,7.8358,58.9597,-133.872,60,0.0025,96.302,0.1778,-66.7888
6.433,202.4409,7.8815,58.4073,-133.3436,60,0.001,-1.19,0.0641,12.7237
6.467,202.4726,7.9386,58.3162,-133.3181,60,0.0006,63.8332,0.1509,-121.3847
6.5,202.4707,7.9917,58.2929,-133.2755,60,0.0045,-86.2932,0.2067,40.6831
6.533,202.472,8.0348,58.1259,-133.2474,60,0.0024,140.7889,0.0776,55.0483
6.567,202.4776,8.0875,58.3287,-133.4949,60,0.0014,69.219,0.0515,-109.7124
6.6,202.4668,8.1242,57.7789,-133.4338,60,0.0019,-176.9685,0.0451,-95.25
6.633,202.4782,8.1703,57.6784,-133.1522,60,0.0032,-16.9441,0.2111,-6.696
6.667,202.4602,8.2048,57.7319,-132.9496,60,0.0014,-81.1426,0.166,-157.978
6.7,202.4424,8.2265,57.3895,-132.8705,60,0.0028,-161.5336,0.4065,-16.3111
6.733,202.4485,8.2544,56.9295,-132.861,60,0.003,125.4207,0.0783,-28.6466
6.767,202.448,8.2858,56.659,-132.4972,60,0.0005,-60.9737,0.1666,-89.7352
6.8,202.4507,8.3228,57.134,-132.5764,60,0.0013,-2.3108,0.0724,-54.266
6.833,202.4304,8.343,56.7415,-132.0489,60,0.0026,-175.3091,0.0748,-21.5906
6.867,202.4379,8.3672,56.6728,-132.4093,60,0.0003,144.6484,0.0566,103.6798
6.9,202.4506,8.4101,57.1211,-132.299,60,0.0024,-66.2741,0.1018,114.5093
6.933,202.4543,8.4484,56.9493,-132.3892,60,0.0023,47.1581,0.0832,-9.1449
6.967,202.453,8.4803,57.246,-132.5926,60,0.0029,119.6874,0.0624,-32.2419
7,202.4599,8.5142,57.6594,-132.39,60,0.0022,-65.4391,0.02,-164.5563
7.033,202.4573,8.5529,57.7085,-132.921,60,0.002,-138.9014,0.0665,160.8193
7.067,202.4562,8.5872,57.8555,-132.6462,60,0.0015,81.6132,0.1298,57.2745
7.1,202.4654,8.6244,58.1825,-132.9423,60,0.0014,20.1038,0.1273,46.5616
7.133,202.4574,8.6562,58.0112,-132.7013,60,0.0019,94.3572,0.0255,-39.4017
7.167,202.462,8.6925,58.2217,-132.6879,60,0.0041,-154.8743,0.0042,170.0512
7.2,202.4659,8.7402,58.0352,-132.4261,60,0.0046,76.7926,0.1753,21.3331
7.233,202.4464,8.7629,58.2315,-132.5522,60,0.0021,-21.3426,0.1429,-46.941
7.267,202.4504,8.7907,58.0008,-132.2156,60,0.0015,-174.4613,0.2045,-105.9204
7.3,202.4504,8.8356,58.1715,-132.2543,60,0.0009,-153.7284,0.2289,63.9444
7.333,202.456,8.876,58.0044,-131.954,60,0.0016,-64.3333,0.0749,-15.3724
7.367,202.4452,8.9163,58.2095,-132.3122,60,0.002,117.2704,0.0682,-86.0351
7.4,202.4481,8.9509,58.5372,-132.188,60,0.0039,5.9887,0.0773,12.8899
7.433,202.4567,8.9979,58.4479,-132.3092,60,0.0015,67.9716,0.1439,43.1036
7.467,202.467,9.0543,58.7721,-132.4884,60,0.0027,-32.7842,0.1654,-104.8978
7.5,202.46,9.0966,58.9614,-132.4504,60,0.0004,49.4738,0.1286,22.0523
7.533,202.4603,9.1333,59.187,-132.6008,60,0.0017,10.1468,0.225,70.9712
7.567,202.4849,9.1934,59.9846,-133.2019,60,0.0028,-3.1905,0.104,103.3763
7.6,202.4672,9.2401,59.8183,-132.8944,60,0.0022,-115.253,0.1643,53.2196
7.633,202.4519,9.2653,59.447,-132.6755,60,0.0003,-179.6092,0.2358,-90.4501
7.667,202.4767,9.3171,60.4636,-133.3164,60,0.0023,-176.4604,0.0771,17.8384
7.7,202.4534,9.3616,60.364,-132.6068,60,0.0057,-156.8825,0.2046,16.0291
7.733,202.4512,9.4025,60.3492,-133.1485,60,0.0016,177.6084,0.1676,-141.6406
7.767,202.4531,9.4444,60.3692,-132.9072,60,0.0033,-25.5896,0.2104,-110.94
7.8,202.4506,9.4708,59.9232,-132.7267,60,0.0016,118.282,0.2652,25.9044
7.833,202.457,9.5123,60.2924,-132.7196,60,0.0004,165.9099,0.1018,-163.4271
7.867,202.4453,9.5458,59.831,-132.6686,60,0.0038,-74.0775,0.1933,-164.7887
7.9,202.4376,9.5727,59.9594,-132.6285,60,0.0051,-41.7132,0.2778,81.1698
7.933,202.4393,9.5991,60.2508,-132.7384,60,0.0017,146.3985,0.2093,0.1658
7.967,202.4379,9.63,60.3664,-132.6552,60,0.0058,-66.2034,0.0358,160.0492
8,202.4448,9.6588,59.7801,-132.4351,60,0.0012,-95.4815,0.1118,-69.4748
8.033,202.4538,9.694,60.1557,-132.8641,60,0.0043,-36.4459,0.0993,-134.6664
8.067,202.4418,9.7164,59.7886,-132.4542,60,0.0036,-174.0165,0.1656,-45.9512
8.1,202.4513,9.7417,59.945,-132.2581,60,0.0026,7.5009,0.2231,37.672
8.133,202.4461,9.7727,59.9259,-132.7831,60,0.0006,83.308,0.0963,126.9713
8.167,202.4329,9.7829,59.8407,-132.4861,60,0.0039,77.4974,0.0729,-85.8951
8.2,202.4387,9.8,59.5594,-132.3891,60,0.0003,143.2125,0.0917,93.5706
8.233,202.4374,9.8304,59.8484,-132.2363,60,0.0032,-133.6889,0.0206,144.5385
8.267,202.4285,9.8435,59.7176,-132.2471,60,0.0028,5.9704,0.1123,-143.7133
8.3,202.4236,9.8552,59.4159,-131.6493,60,0.0014,-29.6849,0.1969,-11.5096
8.333,202.4202,9.8593,59.0864,-131.5349,60,0.0019,-107.5374,0.2884,-63.6186
8.367,202.4447,9.8809,59.1297,-131.7796,60,0.0003,-162.6251,0.0512,-66.117
8.4,202.4267,9.9011,58.9318,-131.7284,60,0.003,163.5604,0.1131,13.9594
8.433,202.4194,9.9028,58.9369,-131.3352,60,0.0024,3.6509,0.1088,58.589
8.467,202.4397,9.9219,58.9317,-131.7809,60,0.002,50.1158,0.1504,83.8693
8.5,202.4387,9.9409,59.2133,-131.4195,60,0.0032,-157.1056,0.1514,-0.5001
8.533,202.4427,9.956,59.0164,-131.7539,60,0.0013,104.9587,0.056,-93.3177
8.567,202.4522,9.9815,59.3331,-132.0073,60,0.0017,34.2128,0.1159,-51.5077
8.6,202.4505,10.0011,59.5831,-131.8026,60,0.003,-72.2747,0.2115,23.1993
8.633,202.4595,10.02,59.4959,-131.97,60,0.0006,35.464,0.171,-35.2705
8.667,202.4654,10.0406,59.6791,-132.1154,60,0.0025,-34.7043,0.2736,-81.4876
8.7,202.4536,10.0486,59.6319,-131.9874,60,0.0011,83.3554,0.102,43.5062
8.733,202.4625,10.0576,59.2141,-131.7941,60,0.0015,-15.7778,0.0929,165.1031
8.767,202.4508,10.0772,59.6627,-131.3649,60,0.0022,146.0278,0.1511,-28.5613
8.8,202.4378,10.0876,59.352,-131.5518,60,0.0066,-41.1843,0.2182,14.0368
8.833,202.4527,10.1015,59.2316,-131.6142,60,0.0042,173.2848,0.09,37.1912
8.867,202.4327,10.1033,58.8029,-131.1049,60,0.0024,-111.299,0.0942,-19.1507
8.9,202.439,10.1107,58.7726,-131.0277,60,0.0005,-45.8606,0.2203,36.1515
8.933,202.4353,10.1313,58.7379,-131.43,60,0.0042,89.8254,0.0933,137.0992
8.967,202.4331,10.1367,58.1281,-130.6032,60,0.0024,-35.8157,0.0215,-142.89
9,202.4426,10.153,58.3315,-131.0567,60,0.0021,136.8584,0.2106,62.7504
9.033,202.451,10.1787,58.523,-131.0618,60,0.0024,157.7527,0.1751,35.4701
9.067,202.4499,10.1933,57.8362,-131.0317,60,0.0005,-125.9194,0.1595,-72.7038
9.1,202.4627,10.2083,57.6457,-130.8903,60,0.0004,-161.4667,0.0358,-48.4749
9.133,202.465,10.2271,57.6379,-130.6226,60,0.0037,121.3456,0.0968,-149.0769
9.167,202.465,10.2513,57.6124,-130.6344,60,0.0033,52.4962,0.1139,-114.4306
9.2,202.4703,10.2737,57.1286,-130.5368,60,0.0006,80.2757,0.0623,-37.2638
9.233,202.4616,10.2854,57.1578,-130.2837,60,0.0019,156.0944,0.2528,-92.6143
9.267,202.474,10.301,56.8539,-130.1844,60,0.0005,47.3872,0.2286,-47.3311
9.3,202.4796,10.3303,56.7011,-129.7223,60,0.0026,-74.2167,0.1668,59.6929
9.333,202.4587,10.3486,56.4429,-129.8535,60,0.0025,160.2583,0.17,17.7549
9.367,202.471,10.3653,56.4455,-129.6869,60,0.0019,-33.9486,0.1298,143.6326
9.4,202.4785,10.3946,56.0562,-129.3637,60,0.0036,33.2413,0.2056,17.9083
9.433,202.4613,10.4056,55.8356,-128.7759,60,0.0008,58.9811,0.1609,-8.7052
9.467,202.49,10.4385,56.1822,-129.1855,60,0.0008,143.4263,0.0386,121.5553
9.5,202.4868,10.4753,55.8937,-129.4936,60,0.0007,-16.9983,0.1171,72.6269
9.533,202.4651,10.4826,55.6514,-128.7064,60,0.0021,33.0262,0.3095,-69.2
9.567,202.5041,10.5253,56.1145,-129.1987,60,0.0035,-61.9665,0.1033,-113.3228
